category, skill
Analytical,Bioinformatics
Analytical,Data science
Analytical,Experimental Design
Analytical,Next Generation Sequencing
Analytical,Genomics
Analytical,High Performance Computing
Analytical,Project Management
Analytical,Quality Control
Analytical,Reproducible research
Analytical,Statistics
Analytical,Technical writing and documentation
Programming,AWK - proficient
Programming,Bash - expert
Programming,Python - expert
Programming,R - expert
Programming,Rmarkdown - expert
Tools,bcftools
Tools,blast
Tools,bwa
Tools,conda/anaconda
Tools,fastQC
Tools,git/github
Tools,prokka
Tools,quast
Tools,Rshiny
Tools,samtools
Tools,seqtk
Tools,shovill
Tools,snippy
Tools,spades
Tools,trimmomatic
Tools,vcftools
